date;age;stream;hours;work;instr;compose;favgenre;explore;lang;classical;country;edm;folk;gospel;hiphop;jazz;kpop;latin;lofi;metal;pop;rnb;rap;rock;videogame;anxiety;depression;insomnia;ocd;effect;Acepto
2024/08/06 7:13:48 p.Â m. EEST;30;No suelo utilizar servicios de streaming;0.5;No;No;No;Rock;No;S’;Rara vez;A veces;Nunca;Con frecuencia;Nunca;Nunca;A veces;Nunca;Nunca;A veces;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;4;2;1;0;Mejoran;Acepto
2024/08/06 8:14:45 p.Â m. EEST;30;Spotify;9;S’;No;No;Rock;S’;S’;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;Nunca;Nunca;Con frecuencia;Nunca;2;1;2;0;Mejoran;Acepto
2024/08/06 8:21:39 p.Â m. EEST;23;Spotify;1;S’;S’;No;Latina;S’;S’;Rara vez;Rara vez;Nunca;Con frecuencia;Rara vez;Con frecuencia;Rara vez;Nunca;Con frecuencia;Nunca;Con frecuencia;Con frecuencia;A veces;Con frecuencia;Con frecuencia;Nunca;6;6;2;0;Mejoran;Acepto
2024/08/06 8:24:38 p.Â m. EEST;24;Spotify;1;No;No;No;Pop;S’;No;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;A veces;Con frecuencia;Nunca;Nunca;Nunca;A veces;Nunca;Nunca;Nunca;Nunca;2;0;2;0;Mejoran;Acepto
2024/08/06 8:28:27 p.Â m. EEST;30;Otros;2;No;No;No;Hip hop;S’;No;A veces;Rara vez;Con frecuencia;Rara vez;Rara vez;Con frecuencia;A veces;Rara vez;Con frecuencia;A veces;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Con frecuencia;A veces;7;7;0;7;Mejoran;Acepto
2024/08/06 8:29:46 p.Â m. EEST;30;Spotify;1;No;No;No;Pop;No;S’;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;Nunca;6;0;2;3;Apenas noto efecto;Acepto
2024/08/06 8:35:04 p.Â m. EEST;58;Otros;4;No;No;No;Rock;No;S’;A veces;Rara vez;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;A veces;Nunca;A veces;A veces;Nunca;Nunca;A veces;Nunca;0;0;0;1;Mejoran;Acepto
2024/08/06 8:36:53 p.Â m. EEST;35;Youtube Music;2;No;No;No;Latina;S’;No;Nunca;Rara vez;Nunca;Nunca;Nunca;Nunca;Rara vez;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Rara vez;Rara vez;6;1;3;2;Mejoran;Acepto
2024/08/06 8:37:52 p.Â m. EEST;49;Youtube Music;13;No;No;No;Pop;No;No;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;Nunca;3;3;2;3;Mejoran;Acepto
2024/08/06 8:37:56 p.Â m. EEST;30;Spotify;5;No;No;No;Pop;S’;S’;A veces;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Con frecuencia;Rara vez;Rara vez;Rara vez;Nunca;8;5;6;8;Mejoran;Acepto
